	Arousal	Auditory	Motor	Postural	Visual
10	0.184534574751246	0.0810227915464809	0.802028409294842	0.119764842460508	0.0147876387717547
38	0.240278551298105	0.302021093202006	0.561664095306911	0.434235363175021	0.15298406622632
70	0.189902011434291	0.275192207210154	0.559130937960644	0.0852222632597031	0.178990677025196
66	0.00381977797016637	0.261331320866408	0.651955738103179	0.168085620525605	0.11010677520897
83	0.261692682963734	0.403529059719293	0.709414504550578	0.438695799721515	0.301448533215549
32	0.0925544400524427	0.187366266807426	0.457566856919801	0.224516368909262	0.306004135640206
82	0.0790318385135992	0.135961176215283	0.478039928835939	0.241478086669181	0.190603823716687
88	0.168116139858708	0.302141598000744	0.823443377809809	0.257180002448968	0.163130153959851
9	0.151551094047901	0.305809018994683	0.519340940712602	0.333180076198179	0.196978772072794
61	0.232243077916303	0.0565000003158438	0.597628831689005	0.29311207131158	0.0554780743816416
13	0.0557658498800697	0.244890200020828	0.359487714677356	0.0862398121099353	0.138615998428137
50	0.196226145008207	0.204212657934061	0.771319478523556	0.236993055334647	0.0948822155372149
72	0.124678741210429	0.279137473468559	0.478255279861426	0.299005986451401	0.033493810577042
86	0.207189649036226	0.347376613066962	0.756499066631026	0.352579452858478	0.3030657662939
53	0.10587168382612	0.173758545446546	0.394675817510761	0.266156343441064	0.0448474785528221
33	0.29413448732625	0.432920961819004	0.655879050845615	0.393846461519324	0.400642716608507
101	0.304717244484988	0.352928813467135	0.601493121306403	0.354513070341534	0.352214420607196
81	0.221372604468403	0.351499247785777	0.527702153696643	0.422964210041475	0.216604992695404
63	0.127315781240673	-0.0328654948597411	0.852359553944612	0.229949806236146	0.199335349441274
94	0.0941651444145129	0.395299275307776	0.750139037764173	0.160225599901531	0.00681920513660733
34	0.179269273414535	0.288309905179321	0.620533594205425	0.0650368779285528	0.0460395502556368
27	0.142245230770336	0.000213740659978358	0.387664348294375	0.236337170998379	0.260544126021301
55	0.0467310698313605	0.186974852560248	0.382464725244903	0.297839563829564	0.270782995392586
